uid,name,URL
cldvnt6wc004ru21k6dmtq4vg,Fission,https://directory.plnetwork.io/teams/cldvnt6wc004ru21k6dmtq4vg
cldvntcmm0067u21kgljgkbn6,Finnt,https://directory.plnetwork.io/teams/cldvntcmm0067u21kgljgkbn6
cldvntfwf007bu21ki6edz0fn,Ingonyama,https://directory.plnetwork.io/teams/cldvntfwf007bu21ki6edz0fn
cldvnxq0a01k1u21kokziwv54,Ownership Labs (Dataverse),https://directory.plnetwork.io/teams/cldvnxq0a01k1u21kokziwv54
cldvnt643004ju21kuruu5gx5,Exorde Labs,https://directory.plnetwork.io/teams/cldvnt643004ju21kuruu5gx5
cln0f1j0k0000w402zqda5b3h,Fileverse,https://directory.plnetwork.io/teams/cln0f1j0k0000w402zqda5b3h
cldvntdbz006hu21kyl2g5qrq,Speculative Technologies,https://directory.plnetwork.io/teams/cldvntdbz006hu21kyl2g5qrq
cle32fvw40000021f4901dmqj,BLOOP,https://directory.plnetwork.io/teams/cle32fvw40000021f4901dmqj
cldvnt7mm004zu21kc3aacqui,Slate,https://directory.plnetwork.io/teams/cldvnt7mm004zu21kc3aacqui
cldvntb5z005nu21kuxxur0t7,Bunkyr,https://directory.plnetwork.io/teams/cldvntb5z005nu21kuxxur0t7
cldvnt83y0055u21kp6h975xr,Forte Group,https://directory.plnetwork.io/teams/cldvnt83y0055u21kp6h975xr
clthe3lp70005yg022ypg0h3s,FIDL: Filecoin Incentive Design Labs,https://directory.plnetwork.io/teams/clthe3lp70005yg022ypg0h3s
clvv9pjo10007yo022s6ned9w,Devonian,https://directory.plnetwork.io/teams/clvv9pjo10007yo022s6ned9w
clthfrxky000vv902ufapmkh5,bio.xyz,https://directory.plnetwork.io/teams/clthfrxky000vv902ufapmkh5
cldvntl9k0093u21kh5bdptwd,CyberConnect,https://directory.plnetwork.io/teams/cldvntl9k0093u21kh5bdptwd
cldvntgvi007nu21k5ojhnkh1,"Pont Co., Ltd.",https://directory.plnetwork.io/teams/cldvntgvi007nu21k5ojhnkh1
cldvnthac007tu21kypf2amaa,aleph.im,https://directory.plnetwork.io/teams/cldvnthac007tu21kypf2amaa
cldvnti6n0085u21kh8rtpizk,LongHash Ventures,https://directory.plnetwork.io/teams/cldvnti6n0085u21kh8rtpizk
cliuv9hwt00000x02tn18bqze,Sgnal,https://directory.plnetwork.io/teams/cliuv9hwt00000x02tn18bqze
cldvntjf9008lu21k3vprywrj,LabDAO,https://directory.plnetwork.io/teams/cldvntjf9008lu21k3vprywrj
cldvntjy9008ru21k0t9746k8,Magmo,https://directory.plnetwork.io/teams/cldvntjy9008ru21k0t9746k8
cldvntiqk008du21kffdyujn6,Lit Protocol,https://directory.plnetwork.io/teams/cldvntiqk008du21kffdyujn6
cldvntlxh009bu21kg8yy8reh,blocz,https://directory.plnetwork.io/teams/cldvntlxh009bu21kg8yy8reh
cldvntmh6009ju21k9wn3obhu,IOSG Ventures,https://directory.plnetwork.io/teams/cldvntmh6009ju21k9wn3obhu
cllcpa28v000b0502ja72957o,Supermodular,https://directory.plnetwork.io/teams/cllcpa28v000b0502ja72957o
cldvnthr5007zu21kq3bllsc5,Kotal,https://directory.plnetwork.io/teams/cldvnthr5007zu21kq3bllsc5
cleei8076000002txgncl9dds,Lomads,https://directory.plnetwork.io/teams/cleei8076000002txgncl9dds
cliuw30fu0002w502nq7ezyvn,Gensyn,https://directory.plnetwork.io/teams/cliuw30fu0002w502nq7ezyvn
cldvntvou00bju21ksihnvixq,Agoric,https://directory.plnetwork.io/teams/cldvntvou00bju21ksihnvixq
cldvnttj800anu21kziptifp7,HyperDapp,https://directory.plnetwork.io/teams/cldvnttj800anu21kziptifp7
cldvntz4h00cnu21kof8bz2qy,DXOS (Braneframe),https://directory.plnetwork.io/teams/cldvntz4h00cnu21kof8bz2qy
cldvntsca00a7u21kgj6d615b,Ecko,https://directory.plnetwork.io/teams/cldvntsca00a7u21kgj6d615b
cldvntu1q00avu21klr2gax1p,Polygon,https://directory.plnetwork.io/teams/cldvntu1q00avu21klr2gax1p
cldvntuj500b3u21k92fdw3pn,LZero,https://directory.plnetwork.io/teams/cldvntuj500b3u21k92fdw3pn
clof8rdi60006ug02bjkz2zu9,DeStor,https://directory.plnetwork.io/teams/clof8rdi60006ug02bjkz2zu9
cldvntwx200bzu21kicfugfz2,Polywrap,https://directory.plnetwork.io/teams/cldvntwx200bzu21kicfugfz2
cldvnty7w00cbu21ku94lbyuz,Bust Out,https://directory.plnetwork.io/teams/cldvnty7w00cbu21ku94lbyuz
cldvnu54i00etu21k6tn74iaa,Joyn (Chestr Labs),https://directory.plnetwork.io/teams/cldvnu54i00etu21k6tn74iaa
cldvnu4di00elu21koqihwo82,Autonomy Network,https://directory.plnetwork.io/teams/cldvnu4di00elu21koqihwo82
cldvnu2zq00e5u21kmde2p0pi,Chingari,https://directory.plnetwork.io/teams/cldvnu2zq00e5u21kmde2p0pi
clly0eb430012zw023h74clt3,Archipelago,https://directory.plnetwork.io/teams/clly0eb430012zw023h74clt3
cldvnvha800spu21km47wbmeh,IP Stewards,https://directory.plnetwork.io/teams/cldvnvha800spu21km47wbmeh
cldvntyng00chu21k84brg0fj,Tamago Labs,https://directory.plnetwork.io/teams/cldvntyng00chu21k84brg0fj
cldvnu5l000ezu21knvu61bub,StorSwift,https://directory.plnetwork.io/teams/cldvnu5l000ezu21knvu61bub
cldvnu68o00f5u21kevpdm7i1,Enlightra,https://directory.plnetwork.io/teams/cldvnu68o00f5u21kevpdm7i1
cleeky1re000202tx3kex3knn,--,https://directory.plnetwork.io/teams/cleeky1re000202tx3kex3knn
cllkxki6p00031d02ydfxxtcq,Lineage Protocol,https://directory.plnetwork.io/teams/cllkxki6p00031d02ydfxxtcq
cluis7jwt000ksi02rtr1r199,Wikipedia,https://directory.plnetwork.io/teams/cluis7jwt000ksi02rtr1r199
cldvnu7gm00flu21ky2bhqgq7,Gitcoin,https://directory.plnetwork.io/teams/cldvnu7gm00flu21ky2bhqgq7
cldvnuc7d00h3u21k7hfn2kmg,Safe,https://directory.plnetwork.io/teams/cldvnuc7d00h3u21k7hfn2kmg
cldvnueku00htu21kova1reug,Celestia,https://directory.plnetwork.io/teams/cldvnueku00htu21kova1reug
cldvnucsc00hbu21kw9mu4ok0,Butter,https://directory.plnetwork.io/teams/cldvnucsc00hbu21kw9mu4ok0
cldvnu1g000dhu21kig47txoz,PowerLoom Protocol,https://directory.plnetwork.io/teams/cldvnu1g000dhu21kig47txoz
cldvnu87p00ftu21kduacyp25,Spritely Institute,https://directory.plnetwork.io/teams/cldvnu87p00ftu21kduacyp25
cldvnu9ct00g3u21k1r0xzp48,FogMeta,https://directory.plnetwork.io/teams/cldvnu9ct00g3u21k1r0xzp48
cldvnubn100gvu21ks0ids4h5,Rarilabs,https://directory.plnetwork.io/teams/cldvnubn100gvu21ks0ids4h5
cldvnub3r00gpu21kxs3ri1jn,Bacalhau,https://directory.plnetwork.io/teams/cldvnub3r00gpu21kxs3ri1jn
cldvntv0a00b9u21kbusi8zvx,Anytype,https://directory.plnetwork.io/teams/cldvntv0a00b9u21kbusi8zvx
cldvnu9tx00gbu21kt71xccn2,Chain Agnostic Standards Alliance,https://directory.plnetwork.io/teams/cldvnu9tx00gbu21kt71xccn2
cldvnuddw00hhu21kiipyun1u,Resolutio,https://directory.plnetwork.io/teams/cldvnuddw00hhu21kiipyun1u
cldvnz7bq022ju21kfmd3lsqa,Digital Gaia,https://directory.plnetwork.io/teams/cldvnz7bq022ju21kfmd3lsqa
cleh96bkb000102ysa8y25ekk,DAOrecords,https://directory.plnetwork.io/teams/cleh96bkb000102ysa8y25ekk
cldvnug0w00ibu21kb0jk7lks,0xEssential,https://directory.plnetwork.io/teams/cldvnug0w00ibu21kb0jk7lks
cldvnumwd00jzu21khsxeg7qb,Filebase,https://directory.plnetwork.io/teams/cldvnumwd00jzu21khsxeg7qb
cldvnxnh101j3u21k31arv677,Zondax,https://directory.plnetwork.io/teams/cldvnxnh101j3u21k31arv677
cldvnujei00jhu21kcmuaa5xi,Nebula Blockchain Frontier Solutions Inc.,https://directory.plnetwork.io/teams/cldvnujei00jhu21kcmuaa5xi
